,,,,,N(H2) vs N(OH),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
#,Name,l,b,nhi,nhier,tauNH,er,tNH2,er,ebver,ebvNH,er,eNH2,er,rNH,er,rNH2,er,Av,OH?,N(OH),er
65,3C272.1,280.6321,74.6873,3.19,0.05,2.4028636279,0.3970289998,-0.3935681861,0.2000824997,0.0018,3.873008,0.2496144505,0.341504,0.1272864622,2.9526325765,0.494846459,-0.1186837118,0.2486830402,0.1065,0,0,0
66,3C225a,219.8662,44.0249,4.24,0.3,4.9207821875,0.2055717526,0.3403910938,0.1818376649,0.0032,5.3196904,0.4136494479,0.5398452,0.2554925957,5.861723021,0.2949475928,0.8108615105,0.2103533233,0.1451,0,0,0
67,4C07.32,322.2286,68.835,2.7,0.04,3.2365298358,0.1439252976,0.2682649179,0.0746901789,0.0003,3.0870152,0.1185008286,0.1935076,0.062534883,3.5091938345,0.184494721,0.4045969172,0.0943905478,0.0836,0,0,0
68,3C245,233.1247,56.3009,2.68,0.05,3.097270277,0.1368275479,0.2086351385,0.072838482,0.0008,2.449108,0.1280941094,-0.115446,0.0687533651,2.7185283841,0.142254495,0.019264192,0.0753928733,0.0653,0,0,0
69,3C93.1,160.0361,-15.9147,15.55,1.32,31.2051289929,1.5040073906,7.8275644965,1.0005546251,0.0141,37.4428744,2.1151389359,10.9464372,1.2466166931,30.6053664808,1.706670145,7.5276832404,1.0787867009,1.0543,0,0,0
70,3C348,22.971,29.1769,7.3,0.2,7.9432108763,0.3462644251,0.3216054381,0.1999368976,0.0013,9.3521752,0.3742892484,1.0260876,0.212186499,9.4401235194,0.4893326095,1.0700617597,0.2643134516,0.2522,0,0,0
71,4C13.67,43.4971,9.154,21.36,1.1,63.87215059,2.9729992656,21.256075295,1.5849861698,0.0138,62.9477712,2.7972104092,20.7938856,1.5028627743,40.7370241949,2.2137647382,9.6885120975,1.235996998,1.685,1,1.5494,0.402
72,3C286,56.5241,80.6747,1.34,0.09,1.1333431609,0.0791012854,-0.1033284196,0.0599103775,0.0005,1.13912,0.0706897515,-0.10044,0.057221152,1.3970270586,0.1050829565,0.0285135293,0.0691780813,0.0306,0,0,0
73,4C13.65,39.3151,17.718,11.75,0.19,16.425453427,0.7930960763,2.3377267135,0.4077687415,0.0039,13.5441368,0.667230976,0.8970684,0.3468779236,18.6385617824,1.0407602217,3.4442808912,0.5289805854,0.374,0,0,0
74,3C190.0,207.6242,21.8412,3.55,0.05,3.3492649252,0.1258650464,-0.1003675374,0.0677163383,0.0009,2.9958856,0.150453384,-0.2770572,0.0792720329,3.4985849416,0.1640553564,-0.0257075292,0.0857527842,0.0824,0,0,0
75,P0320+05,176.9818,-40.8433,14.25,0.61,20.787782741,0.9598354715,3.2688913705,0.5686352373,0.002,19.5245168,0.7529379659,2.6372584,0.4845140815,16.628938047,0.8983558255,1.1894690235,0.5429417992,0.5387,0,0,0
76,3C274.1,269.8744,83.1637,3.08,0.05,3.2630517722,0.116978301,0.0915258861,0.0636080241,0.0006,2.8705824,0.125713724,-0.1047088,0.067646028,3.14763295,0.1432701824,0.033816475,0.0758721707,0.0766,0,0,0
77,3C207,212.968,30.139,6.72,0.19,14.6069313778,0.8629555108,3.9434656889,0.4418122377,0.0042,8.6459208,0.5743568726,0.9629604,0.3024838083,10.6473036812,0.6963101679,1.9636518406,0.3608835858,0.2598,1,0.1207,0.0227
78,T0629+10,201.5315,0.5079,75.2,3.61,553.642839614,23.0641116735,239.221419807,11.6724606156,0.2278,178.443148,26.7652233317,51.621574,13.5037890978,171.911319164,8.6334077545,48.355659582,4.6788842007,4.6689,1,7.1103,0.70814535
79,3C223,188.4071,48.65994,1.31,1.62,0.5578625042,0.0410365833,-0.3760687479,0.810259835,0.0003,1.1619024,0.0546965574,-0.0740488,0.8104615527,1.2348514509,0.0972145296,-0.0375742745,0.8114571253,0.0308,-1,-1,-1
80,4C12.50,347.223,70.1718,2.37,0.11,3.0507550172,0.1920741898,0.3403775086,0.110671241,0.0005,3.2578832,0.1326019414,0.4439416,0.086144174,4.6355623365,0.319501202,1.1327811682,0.1689534093,0.0893,-1,-1,-1
81,4C04.51,7.2923,47.747,4.55,0.13,4.7346274303,0.3136164125,0.0923137152,0.1697463211,0.0012,4.9323896,0.2270533251,0.1911948,0.1308178241,6.1468895586,0.4421571778,0.7984447793,0.2304359835,0.135,-1,-1,-1
82,4C33.48,66.3887,8.3713,15.76,3.04,20.403609008,0.8644426581,2.321804504,1.5802579781,0.0029,19.991556,0.8056506804,2.115778,1.5724720203,25.031314806,1.2718218385,4.635657403,1.6476597638,0.5534,-1,-1,-1
83,3C111,161.6756,-8.8197,36.43,4.42,174.976495094,9.7439216752,69.273247547,5.3497759208,0.0205,161.9486904,6.3942497721,62.7593452,3.8866061721,71.31431195,4.4465193788,17.442155975,3.1348020107,4.4208,-1,-1,-1
84,J2232,77.4379,-38.5824,5.5,0.41,5.5810136687,0.3251910933,0.0405068343,0.261653037,0.0015,6.9714144,0.3079861973,0.7357072,0.256395933,6.6705255145,0.4313562009,0.5852627572,0.2975601503,0.1914,-1,-1,-1
85,3C298,352.1602,60.6666,2.39,0.38,1.8047144442,0.1198715682,-0.2926427779,0.1992292604,0.0008,2.8364088,0.1384692041,0.2232044,0.2022212405,2.8915002327,0.208476937,0.2507501164,0.2167156162,0.0785,0,0,0
86,B2050,78.8581,-5.1238,33.86,2.42,32.3467814128,1.3894394471,-0.7566092936,1.3952546342,0.0006,5.2627344,0.2051566415,-14.2986328,1.2143402785,33.9551481324,1.7418994286,0.0475740662,1.490856601,0.1432,-1,-1,-1
87,PKS0531,186.7617,-7.1076,28.84,9.72,28.8956337133,1.3394191405,0.0278168567,4.905926101,0.0085,34.4697712,1.5945932484,2.8148856,4.9249651681,23.564239092,1.27666584,-2.637880454,4.9017414168,0.9372,-1,-1,-1
88,4C16.09,166.6357,-33.5959,12.1,1.13,14.4686083679,0.7939637397,1.184304184,0.690521256,0.0041,14.9338632,0.7207127471,1.4169316,0.6701355952,11.9684450272,0.7375767142,-0.0657774864,0.6747072345,0.4059,-1,-1,-1
89,3C48,133.9626,-28.7194,4.95,0.41,3.5753179934,0.1787889788,-0.6873410033,0.2236434098,0.0007,4.2944824,0.1768451534,-0.3277588,0.2232566955,4.82680219,0.2767424411,-0.061598905,0.24732892,0.1165,-1,-1,-1
90,3C327.1,12.1821,37.0047,8.72,1.18,11.6396292591,0.600397658,1.4598146296,0.6619813721,0.0018,13.0657064,0.5221834498,2.1728532,0.6451890334,10.6346387552,0.6244014779,0.9573193776,0.6675097763,0.3523,-1,-1,-1
91,3C147,161.6864,10.2984,20.59,1.95,24.7625644665,1.0884111426,2.0862822333,1.1165951387,0.0067,25.6529824,1.2130757085,2.5314912,1.1482652867,16.3274125364,0.8513063029,-2.1312937318,1.0638635276,0.6936,-1,-1,-1
92,3C459,83.0397,-51.285,6.29,0.49,7.0610261819,0.3666086664,0.385513091,0.3059828076,0.0009,6.4246368,0.2574383299,0.0673184,0.2767555301,6.6432841502,0.3920265005,0.1766420751,0.3137613652,0.174,-1,-1,-1
93,3C345,63.455,40.9489,1.01,0.13,1.6492679144,0.1114558675,0.3196339572,0.0856189383,0.0006,1.2758144,0.082887707,0.1329072,0.0770882157,1.796301451,0.131431382,0.3931507255,0.0924313369,0.035,-1,-1,-1
